OID_,osm_id,code,fclass,name,POINT_X,POINT_Y,POINT_Z
24583,9469285541,2593,vending_any, ,2.2373817,48.8922593,0
17363,5934176804,2906,waste_basket, ,2.2390101,48.8922553,0
8767,2813296251,2906,waste_basket, ,2.2368471,48.892233,0
19589,6785537828,2906,waste_basket, ,2.2443602,48.8922293,0
5900,1984216244,2907,camera_surveillance, ,2.2340492,48.8922274,0
5596,1930418726,2907,camera_surveillance, ,2.238519,48.8922248,0
24584,9469285542,2593,vending_any, ,2.2375432,48.8922194,0
5598,1930418752,2907,camera_surveillance, ,2.2380973,48.892214,0
24585,9469285543,2593,vending_any, ,2.2375656,48.8922126,0
24586,9469285544,2593,vending_any, ,2.2375827,48.8922034,0
17362,5934176803,2906,waste_basket, ,2.2391798,48.8922019,0
8766,2813296247,2701,tourist_info, ,2.2366813,48.8921963,0
22184,8383788635,2906,waste_basket, ,2.2345143,48.8921784,0
20168,7216259376,2902,bench, ,2.2280621,48.8921691,0
17361,5934176802,2906,waste_basket, ,2.2393126,48.8921601,0
17443,5994212208,2602,atm, ,2.2378153,48.8921562,0
24578,9466715787,2593,vending_any, ,2.2374707,48.8921465,0
24577,9466715786,2593,vending_any, ,2.2374667,48.8921408,0
8765,2813296245,2701,tourist_info, ,2.2367882,48.8921407,0
5595,1930418707,2907,camera_surveillance, ,2.2387877,48.8921387,0
5504,1911378519,2907,camera_surveillance, ,2.2404435,48.8921371,0
8764,2813296243,2902,bench, ,2.2366191,48.8921197,0
8763,2813296242,2906,waste_basket, ,2.2365955,48.8921157,0
61,205405677,2004,post_box, ,2.2423985,48.8921134,0
17439,5994166980,2907,camera_surveillance, ,2.2375036,48.8921013,0
17440,5994166981,2907,camera_surveillance, ,2.2375076,48.8921,0
17479,6009570769,2033,recycling_clothes, ,2.2298357,48.8920856,0
8762,2813296240,2902,bench, ,2.2367396,48.8920825,0
17478,6009570768,2033,recycling_clothes, ,2.2298169,48.8920789,0
8761,2813296238,2906,waste_basket, ,2.2367082,48.8920744,0
8760,2813296236,2906,waste_basket, ,2.2367466,48.8920633,0
22185,8383788636,2906,waste_basket, ,2.2345677,48.8920593,0
5552,1921737555,2907,camera_surveillance, ,2.2431918,48.8920554,0
5551,1921737546,2907,camera_surveillance, ,2.2432045,48.8920537,0
13072,4230212629,2592,vending_parking, ,2.2279858,48.8920091,0
19592,6786287548,2906,waste_basket, ,2.242337,48.8920022,0
24587,9469285582,2593,vending_any, ,2.2372069,48.8919786,0
19591,6786287547,2906,waste_basket, ,2.2424193,48.8919763,0
24588,9469285583,2593,vending_any, ,2.2372203,48.8919743,0
17480,6009570771,2907,camera_surveillance, ,2.230014,48.891938,0
20169,7216259377,2902,bench, ,2.228431,48.891916,0
17121,5843593669,2903,drinking_water, ,2.2421067,48.8919096,0
6032,1999940991,2907,camera_surveillance, ,2.2435535,48.8919049,0
14815,4988195231,2527,newsagent, ,2.2372013,48.8918985,0
17451,5996489623,2701,tourist_info, ,2.2409438,48.8918941,0
17450,5996489622,2701,tourist_info, ,2.2409648,48.8918874,0
17444,5994920605,2725,artwork,cnit,2.2394682,48.8918669,0
19503,6775207415,2907,camera_surveillance, ,2.2313764,48.8918336,0
6033,1999940992,2907,camera_surveillance, ,2.2434172,48.8917956,0
5898,1984211762,2907,camera_surveillance, ,2.2324922,48.8917929,0
5506,1911378521,2907,camera_surveillance, ,2.2409875,48.8917882,0
6038,1999941050,2907,camera_surveillance, ,2.2433638,48.8917724,0
6039,1999941058,2907,camera_surveillance, ,2.2430514,48.8917462,0
1480,827014390,2907,camera_surveillance, ,2.231396,48.8917319,0
13070,4230212553,2906,waste_basket, ,2.2289512,48.8917255,0
17449,5996489043,2906,waste_basket, ,2.2396425,48.8917209,0
5594,1930392233,2907,camera_surveillance, ,2.2400426,48.8917195,0
5600,1930418779,2907,camera_surveillance, ,2.2372238,48.8916891,0
16439,5546739657,2302,fast_food,Jour,2.2360823,48.8916862,0
5601,1930418785,2907,camera_surveillance, ,2.2372183,48.891685,0
19425,6697039570,2907,camera_surveillance, ,2.2316301,48.8916809,0
7210,2402805079,2301,restaurant,Cojean,2.2409495,48.8916774,0
6037,1999941039,2907,camera_surveillance, ,2.2440092,48.8916692,0
6040,1999941059,2907,camera_surveillance, ,2.2424065,48.8916668,0
56,202289608,2601,bank,BNP Paribas,2.2407215,48.8916652,0
6035,1999940996,2907,camera_surveillance, ,2.2433931,48.8916597,0
1479,827006779,2907,camera_surveillance, ,2.2316278,48.8916527,0
6034,1999940993,2907,camera_surveillance, ,2.2431454,48.8916486,0
5599,1930418772,2907,camera_surveillance, ,2.2376848,48.8916377,0
20167,7215966939,2906,waste_basket, ,2.2287259,48.8916067,0
19426,6697039571,2907,camera_surveillance, ,2.2323607,48.8915995,0
6036,1999941019,2907,camera_surveillance, ,2.2434425,48.8915886,0
23181,8894876817,2302,fast_food,Five Guys,2.2362146,48.8915713,0
19415,6696769281,2906,waste_basket, ,2.2291289,48.8915697,0
12655,4096803678,2083,kindergarten,Plumes et Compagnies,2.2473064,48.8915522,0
19507,6775207429,2902,bench, ,2.231008,48.8915177,0
19505,6775207427,2902,bench, ,2.2309172,48.8915059,0
19504,6775207426,2902,bench, ,2.230803,48.8914911,0
791,592647598,2601,bank,HSBC,2.2418499,48.8914817,0
19506,6775207428,2902,bench, ,2.2307163,48.8914798,0
5593,1930392199,2907,camera_surveillance, ,2.2408569,48.8914659,0
9775,3020581336,2907,camera_surveillance, ,2.2299199,48.8914633,0
1377,820938929,2301,restaurant,Pizza Del Arte,2.2372226,48.8914112,0
6291,2128086749,2593,vending_any, ,2.2404586,48.8913471,0
5892,1984203934,2907,camera_surveillance, ,2.2362918,48.8913384,0
17448,5996489042,2701,tourist_info, ,2.2392831,48.8913193,0
1376,820938903,2302,fast_food,McDonald's,2.2370668,48.8913168,0
23626,9067315217,2907,camera_surveillance, ,2.243016,48.8913037,0
55,202289605,2001,police,Police nationale,2.2422117,48.891299,0
2202,959829279,2251,sports_centre,Gymnase des Renardi¨¨res,2.2484712,48.8912873,0
3286,1215374962,2004,post_box, ,2.240314,48.8912714,0
21589,7942720459,2564,car_wash,Total Wash,2.2477977,48.8912701,0
6290,2128086747,2593,vending_any, ,2.2403224,48.8912692,0
9774,3020561113,2902,bench, ,2.2302163,48.8912203,0
5891,1984203933,2907,camera_surveillance, ,2.2366756,48.8911922,0
9773,3020561112,2902,bench, ,2.230219,48.8911883,0
4483,1506812702,2601,bank,CIC,2.242119,48.8911508,0
9772,3020561111,2902,bench, ,2.230219,48.8911494,0
17447,5995438244,2592,vending_parking, ,2.2408142,48.8911368,0
18687,6368335130,2301,restaurant,Dapprima,2.2444001,48.8911271,0
17446,5995438243,2592,vending_parking, ,2.2408137,48.8911193,0
21241,7768954429,2203,cinema,UGC Cin¨¦ Cit¨¦ La D¨¦fense,2.2353195,48.8910945,0
5395,1880664791,2907,camera_surveillance, ,2.2469175,48.8910236,0
17370,5936552217,2906,waste_basket, ,2.2381599,48.891018,0
3619,1282766450,2903,drinking_water, ,2.2363257,48.8909966,0
19640,6803859602,2902,bench, ,2.2468622,48.8909914,0
4484,1506812708,2601,bank,Caisse d'¨¦pargne,2.2427286,48.8909748,0
17369,5936552216,2906,waste_basket, ,2.2382984,48.8909734,0
17453,5997590257,2701,tourist_info, ,2.2420239,48.8909384,0
5897,1984211761,2907,camera_surveillance, ,2.2331727,48.8909208,0
19999,7113758076,2301,restaurant,Hanoi C¨¤ Ph¨º,2.2364299,48.8908767,0
21612,7959409718,2907,camera_surveillance, ,2.2494354,48.8908758,0
20297,7260518930,2902,bench, ,2.2303177,48.8908697,0
6289,2128086741,2593,vending_any, ,2.242345,48.8908644,0
60,204128499,2701,tourist_info,EPAD Info,2.2423805,48.8908397,0
5878,1977370892,2907,camera_surveillance, ,2.2420118,48.8908362,0
5893,1984203935,2907,camera_surveillance, ,2.2357228,48.8908287,0
11201,3585251693,2529,beauty_shop,Yves Rocher,2.238003,48.8908255,0
3002,1157085175,2722,museum,Mus¨¦e de la D¨¦fense,2.2422993,48.8907734,0
17452,5997589491,2701,tourist_info,Centre - Grande Arche,2.2419314,48.890757,0
65,227450780,2301,restaurant,Bold¨¨re,2.23561,48.8907277,0
5895,1984203937,2907,camera_surveillance, ,2.235481,48.8907203,0
17525,6015044816,2593,vending_any, ,2.235584,48.8907068,0
59,204128496,2301,restaurant,Globe Trotter,2.242646,48.8907062,0
17524,6015044815,2593,vending_any, ,2.2355635,48.8907058,0
17523,6015044814,2593,vending_any, ,2.2355424,48.8907047,0
17522,6015044813,2593,vending_any, ,2.235522,48.8907037,0
17521,6015044812,2593,vending_any, ,2.2355026,48.8907027,0
17520,6015044811,2593,vending_any, ,2.2354823,48.8907017,0
17519,6015044810,2593,vending_any, ,2.2354627,48.8907007,0
19594,6788158809,2907,camera_surveillance, ,2.2454305,48.8907002,0
19595,6788158812,2004,post_box, ,2.2453834,48.8906752,0
4481,1506812684,2301,restaurant,Au Jardin des Corolles,2.245291,48.890647,0
5894,1984203936,2907,camera_surveillance, ,2.235491,48.8906045,0
5896,1984211759,2907,camera_surveillance, ,2.2341428,48.8905933,0
4491,1506814072,2004,post_box, ,2.2453019,48.8905582,0
3292,1215386256,2004,post_box, ,2.2398686,48.890555,0
22985,8805204644,2301,restaurant,Koedo,2.2432514,48.8905513,0
22743,8637706787,2301,restaurant,Eclipse,2.243405,48.8904953,0
12500,4006468495,2701,tourist_info, ,2.2390049,48.8903839,0
4489,1506812949,2601,bank,Soci¨¦t¨¦ G¨¦n¨¦rale,2.2406572,48.8903639,0
19647,6808297463,2906,waste_basket, ,2.2467633,48.890234,0
19646,6808297462,2906,waste_basket, ,2.2467593,48.8902277,0
12618,4084765689,2519,optician,Grand Optical,2.240042,48.8902152,0
10063,3102964284,2301,restaurant,Le Ballon d'Alsace,2.2464919,48.8902011,0
19645,6808297456,2725,artwork,Sculpture La Terre,2.2470695,48.8901673,0
5396,1880675035,2907,camera_surveillance, ,2.243201,48.8901609,0
10064,3102964592,2725,artwork,La Terre,2.2469756,48.8900598,0
22984,8805204635,2301,restaurant,IT,2.2434345,48.8900531,0
4490,1506814063,2004,post_box, ,2.2423412,48.8900215,0
19644,6808297448,2906,waste_basket, ,2.2466075,48.8899737,0
17475,6007129730,2906,waste_basket, ,2.2378924,48.8899446,0
747,570045220,2903,drinking_water,Fontaine Wallace,2.2446949,48.8899303,0
748,570045220,2725,artwork,Fontaine Wallace,2.2446949,48.8899303,0
17469,6003208961,2907,camera_surveillance, ,2.2418114,48.8898955,0
7208,2402805077,2301,restaurant,Le Tourbillon,2.2477261,48.889674,0
7204,2402805073,2602,atm, ,2.2470059,48.8896705,0
7206,2402805075,2501,supermarket,Franprix,2.2468477,48.8896405,0
16820,5659739777,2120,doctors,Beno?t Gaultier - Ost¨¦opathe D.O.,2.2458709,48.8896389,0
64,227420651,2083,kindergarten,Cr¨¨che des Jardins,2.2333391,48.8896116,0
6175,2041931477,2301,restaurant,La Safran¨¦e,2.246063,48.889593,0
19864,7010858668,2120,doctors,Point Vision,2.2424669,48.8895871,0
9031,2822802101,2527,newsagent, ,2.24776,48.889559,0
10062,3102964283,2561,hairdresser,Franck Provost,2.2479757,48.8895093,0
9178,2845831401,2601,bank,Soci¨¦t¨¦ G¨¦n¨¦rale,2.243425,48.889509,0
10065,3102964593,2083,kindergarten,Saperlipopette,2.2467343,48.8894976,0
7207,2402805076,2101,pharmacy,Pharmacie Manhattan,2.2476309,48.8893866,0
7209,2402805078,2301,restaurant,Baguettes Chinoises,2.2472795,48.8893619,0
16821,5660252325,2302,fast_food,Exki,2.243987,48.8893353,0
6172,2041908463,2305,bar,Le Nouveau Monde,2.248058,48.889333,0
7205,2402805074,2301,restaurant,Pause,2.2474646,48.8893125,0
17474,6007128694,2906,waste_basket, ,2.2366694,48.8892412,0
17468,5999842967,2004,post_box, ,2.2441433,48.8890245,0
16866,5705436105,2725,artwork,Les Chemin¨¦es,2.2387314,48.8889767,0
16867,5705436106,2725,artwork,Les Chemin¨¦es,2.2388372,48.8889366,0
17467,5999671206,2725,artwork, ,2.2426395,48.8888528,0
17535,6021759234,2592,vending_parking, ,2.2392046,48.8888329,0
17464,5998971661,2906,waste_basket, ,2.2427391,48.8887039,0
17476,6007156148,2906,waste_basket, ,2.2366016,48.8886907,0
17463,5998971660,2906,waste_basket, ,2.2426887,48.8886339,0
13673,4367380545,2907,camera_surveillance, ,2.2356737,48.8886018,0
17465,5998971662,2906,waste_basket, ,2.2426385,48.8885642,0
17466,5999671205,2725,artwork, ,2.2423625,48.8884681,0
16002,5448645932,2303,cafe,Starbucks,2.2476007,48.8884615,0
14827,5013368662,2301,restaurant,Porto,2.2389704,48.8884453,0
17534,6021649970,2906,waste_basket, ,2.2388151,48.8884418,0
17461,5998658666,2906,waste_basket, ,2.2402547,48.8884184,0
17462,5998658667,2004,post_box, ,2.240127,48.8884182,0
17533,6021649969,2906,waste_basket, ,2.2388397,48.8884067,0
6174,2041920256,2302,fast_food,Titanka,2.2479136,48.888395,0
17540,6023046735,2906,waste_basket, ,2.2361375,48.8883142,0
22754,8640934932,2725,artwork,Banc public,2.2492871,48.8882948,0
12833,4149719997,2906,waste_basket, ,2.2510023,48.8882787,0
7910,2696457283,2903,drinking_water, ,2.2361425,48.8882752,0
6173,2041913984,2301,restaurant,L'Italian Lounge,2.2473159,48.8882542,0
17531,6021649967,2906,waste_basket, ,2.2393381,48.8882291,0
17532,6021649968,2906,waste_basket, ,2.2393304,48.8882178,0
17541,6023047522,2906,waste_basket, ,2.2394913,48.8882024,0
17768,6105626426,2906,waste_basket, ,2.2510329,48.8880906,0
10058,3102735136,2302,fast_food,Anka,2.2476143,48.8880308,0
10059,3102735500,2302,fast_food,Pomme de Pain,2.2473832,48.8880288,0
17537,6021850843,2906,waste_basket, ,2.2384576,48.8880241,0
10057,3102734662,2302,fast_food,Pasta Bella,2.2474691,48.8880011,0
17536,6021850842,2906,waste_basket, ,2.2382605,48.8880007,0
17548,6025133272,2906,waste_basket, ,2.2435505,48.8879965,0
13672,4367377240,2907,camera_surveillance, ,2.2366457,48.8879952,0
17546,6025117953,2906,waste_basket, ,2.2430466,48.8879816,0
10061,3102735535,2301,restaurant,Andrea,2.2482995,48.8879723,0
17545,6025117950,2906,waste_basket, ,2.2432511,48.8879573,0
16168,5510822653,2502,bakery,Panam,2.2470905,48.8879542,0
10060,3102735501,2301,restaurant,Story Place,2.2480887,48.8879509,0
14664,4885344321,2120,doctors,Emeric Goubely - Ost¨¦opathe Puteaux,2.2416542,48.8879413,0
17661,6057722972,2906,waste_basket, ,2.2508912,48.8878949,0
23150,8880798190,2301,restaurant,DS Caf¨¦,2.246979,48.8878689,0
17539,6022967503,2906,waste_basket, ,2.2386823,48.8878217,0
7911,2696457284,2004,post_box, ,2.236965,48.8877571,0
17660,6057722971,2906,waste_basket, ,2.2507863,48.8877553,0
21584,7939857370,2302,fast_food,Paririe,2.2506433,48.8877219,0
21581,7939857367,2301,restaurant,Marco Marco,2.2507652,48.8876843,0
7912,2696478062,2031,recycling_glass, ,2.2374038,48.8875507,0
17547,6025133271,2031,recycling_glass, ,2.2433932,48.8875349,0
17543,6025117890,2907,camera_surveillance, ,2.2433155,48.8874892,0
17544,6025117891,2907,camera_surveillance, ,2.2433198,48.8874869,0
3798,1325227101,2082,school,¨¦cole maternelle D¨¦fense 2000,2.2370257,48.8873177,0
17674,6063270358,2701,tourist_info, ,2.249078,48.8868273,0
17673,6063270357,2906,waste_basket, ,2.2492639,48.8867762,0
10405,3210710710,2101,pharmacy,Pharmacie Bellini,2.2488194,48.8866695,0
17672,6063270338,2906,waste_basket, ,2.2490675,48.886653,0
